vehicle_brand,policy_count,exposure,claim_count,claim_frequency
B12,166024,64808.60871841795,8859,0.13669480297734524
B11,13585,6887.817278981629,721,0.10467757357619693
B5,34753,19992.062694803673,2020,0.10104009930526266
B3,53395,28592.876331293413,2818,0.09855601679764711
B13,12178,6772.032215731704,649,0.09583533854023121
B4,25179,13775.496079787132,1312,0.09524157913449705
B6,28548,15684.953599063985,1462,0.09321034906263581
B1,162736,95351.05957777315,8677,0.09100056190694555
B10,17707,9496.014123058663,858,0.0903536988131225
B2,159861,94864.05710079064,8560,0.09023438656967009
B14,4047,2274.4677430921865,166,0.07298410826188263
