claim_count,observed_policy_count,expected_policy_count
0,643953.0,642855.3225710582
1,32178.0,34229.96735381232
2,1784.0,911.3175421469293
3,82.0,16.174904171743254
4,7.0,0.21531533702461264
5,2.0,0.0022929691015548623
6,1.0,2.0348865116237642e-05
7,0.0,1.547873246480964e-07
8,1.0,1.0302405695845016e-09
9,1.0,6.095219911899413e-12
10,0.0,3.2455075235930864e-14
11,3.0,1.5710252889594308e-16
12,0.0,6.971001414182985e-19
13,0.0,2.855256043477662e-21
14,0.0,1.0859510877649585e-23
15,0.0,3.8548922779248876e-26
16,1.0,1.2828784350156676e-28
