scenario_id,scenario_name,percentile,var,cvar,tail_probability
BASE,Base Case,0.95,1082.1686918127446,3782.888379165589,0.050000000000000044
BASE,Base Case,0.99,4876.09815147806,9780.268429804868,0.010000000000000009
BASE,Base Case,0.995,7412.976972870323,13626.7824450683,0.0050000000000000044
HIGH_INFLATION,High Inflation,0.95,1215.8737935253343,4088.4145105692724,0.050000000000000044
HIGH_INFLATION,High Inflation,0.99,5348.317500608639,10351.472014056948,0.010000000000000009
HIGH_INFLATION,High Inflation,0.995,7878.876052414346,14288.355385535468,0.0050000000000000044
LOW_INFLATION,Low Inflation,0.95,986.1465157894922,3462.5335747927525,0.050000000000000044
LOW_INFLATION,Low Inflation,0.99,4491.535874603929,8877.124833220614,0.010000000000000009
LOW_INFLATION,Low Inflation,0.995,6783.244416037033,12265.098750076117,0.0050000000000000044
STRESS,Stress Scenario,0.95,1272.82725847802,4344.630415098727,0.050000000000000044
STRESS,Stress Scenario,0.99,5653.280143297676,10977.80822194929,0.010000000000000009
STRESS,Stress Scenario,0.995,8436.564676604352,15104.650122479256,0.0050000000000000044
